Element ID,Pos. x [vox],Pos. y [vox],Pos. z [vox],Displacement x [µm],Displacement y [µm],Displacement z [µm]
46419,97,487,382,0.08,0.08,-0.13
46460,97,502,382,0.12,0.06,-0.12
46418,82,487,382,0.04,0.07,-0.11
46378,97,472,382,0.11,0.09,-0.11
44656,97,502,367,0.11,0.06,-0.11
46459,82,502,382,0.06,0.05,-0.11
44615,97,487,367,0.05,0.08,-0.11
48223,97,487,397,0.12,0.05,-0.10
44655,82,502,367,0.06,0.05,-0.10
46377,82,472,382,0.08,0.08,-0.10
44614,82,487,367,0.01,0.06,-0.10
48182,97,472,397,0.13,0.06,-0.10
48222,82,487,397,0.08,0.04,-0.09
47895,97,367,397,0.32,0.08,-0.09
48264,97,502,397,0.14,0.03,-0.09
46420,112,487,382,0.09,0.05,-0.08
48181,82,472,397,0.09,0.05,-0.08
44574,97,472,367,0.06,0.08,-0.08
47894,82,367,397,0.26,0.06,-0.08
42852,97,502,352,0.15,0.04,-0.08
46091,97,367,382,0.16,-0.01,-0.08
48263,82,502,397,0.09,0.02,-0.08
46461,112,502,382,0.11,0.04,-0.08
46337,97,457,382,0.03,0.07,-0.08
46379,112,472,382,0.10,0.05,-0.08
42851,82,502,352,0.10,0.04,-0.07
44573,82,472,367,0.03,0.07,-0.07
48141,97,457,397,0.01,0.04,-0.07
44657,112,502,367,0.11,0.04,-0.07
48224,112,487,397,0.09,0.03,-0.07
46090,82,367,382,0.13,-0.02,-0.07
44616,112,487,367,0.07,0.05,-0.07
47896,112,367,397,0.22,0.01,-0.07
49699,97,367,412,0.20,0.13,-0.07
48183,112,472,397,0.08,0.03,-0.07
44697,97,517,367,0.33,0.05,-0.07
46417,67,487,382,-0.01,0.03,-0.07
44696,82,517,367,0.26,0.04,-0.06
44654,67,502,367,-0.01,0.03,-0.06
46458,67,502,382,-0.01,0.03,-0.06
46336,82,457,382,0.01,0.07,-0.06
49698,82,367,412,0.15,0.10,-0.06
46501,97,517,382,0.32,0.04,-0.06
48140,82,457,397,0.00,0.04,-0.06
42811,97,487,352,0.05,0.04,-0.06
46092,112,367,382,0.13,-0.04,-0.06
50027,97,487,412,0.07,0.01,-0.06
46338,112,457,382,0.03,0.04,-0.06
48265,112,502,397,0.11,0.02,-0.06
46500,82,517,382,0.25,0.03,-0.06
44613,67,487,367,-0.02,0.03,-0.06
49986,97,472,412,0.06,0.01,-0.06
48142,112,457,397,-0.01,0.02,-0.05
42810,82,487,352,0.02,0.03,-0.05
42893,97,517,352,0.32,0.04,-0.05
44575,112,472,367,0.08,0.05,-0.05
46376,67,472,382,0.02,0.04,-0.05
42892,82,517,352,0.25,0.04,-0.05
44287,97,367,367,-0.07,-0.07,-0.05
46050,97,352,382,0.04,-0.05,-0.05
50026,82,487,412,0.04,0.01,-0.05
47893,67,367,397,0.13,-0.01,-0.05
47854,97,352,397,0.13,0.01,-0.05
44286,82,367,367,-0.09,-0.07,-0.05
48221,67,487,397,0.01,0.02,-0.05
74627,97,247,622,-0.04,-0.01,-0.05
49985,82,472,412,0.04,0.01,-0.05
49700,112,367,412,0.14,0.05,-0.05
42853,112,502,352,0.12,0.03,-0.05
44533,97,457,367,-0.01,0.07,-0.05
74626,82,247,622,-0.05,-0.01,-0.05
